@@,item,itemlabel,startdate,enddate
->,Q151944,Leonel Fernández->Leonel Antonio Fernández Reyna,1996-08-16,2000-08-16
->,Q653611,Hipólito Mejía->Rafael Hipólito Mejía Domínguez,2000-08-16,2004-08-16
->,Q151944,Leonel Fernández->Leonel Antonio Fernández Reyna,2004-08-16,2012-08-16->2008-08-16
+++,Q151944,Leonel Antonio Fernández Reyna,2008-08-16,2012-08-16
->,Q57429,Danilo Medina->Danilo Medina Sánchez,2012-08-16,2020-08-16->2016-08-16
+++,Q57429,Danilo Medina Sánchez,2016-08-16,2020-08-16
->,Q16594097,Luis Abinader->Luis Rodolfo Abinader Corona,2020-08-16,
