position,person,personID,start,end
member of the Senate,José Rafael Abinader Wassaf,Q17591796,1998-08-16,2002-08-16
member of the Senate,Julio César Valentín,Q5955209,2010-08-16,2020-08-16
member of the Senate,José Ignacio Paliza,Q17518389,2016-08-16,2020-08-16
member of the Senate,Eduardo Estrella,Q5819205,2020-08-16,
Member of the Chamber of Deputies,Julio César Valentín,Q5955209,1998-08-16,2010-08-16
Member of the Chamber of Deputies,Victor Bisono,Q5923172,2002-08-16,
Member of the Chamber of Deputies,José Ignacio Paliza,Q17518389,2010-08-16,2016-08-16
