id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q112234384,,,,,,,,,,
Q113992686,Administrative Minister of the Presidency of the Dominican Republic,Q786,Q786,,,,,,,
Q113992411,Attorney General of the Dominican Republic,,Q786,,,,,,,
Q21328590,Member of the Chamber of Deputies of the Dominican Republic,Q786,Q786,,,,,,,
Q113992461,Minister for Women of the Dominican Republic,Q786,Q786,,,,,,,
Q113992464,Minister of Agriculture of the Dominican Republic,Q786,Q786,,,,,,,
Q113992451,Minister of Culture of the Dominican Republic,Q786,Q786,,,,,,,
Q113992465,Minister of Defence of the Dominican Republic,Q786,Q786,,,,,,,
Q113992401,Minister of Economy of the Dominican Republic,,Q786,,,,,,,
Q113992402,Minister of Education of the Dominican Republic,,Q786,,,,,,,
Q113992403,Minister of Energy and Mining Of the Dominican Republic,,Q786,,,,,,,
Q113992404,Minister of Environment and Natural Resources of the Dominican Republic,,Q786,,,,,,,
Q113992405,Minister of Finance of the Dominican Republic,,Q786,,,,,,,
Q28662562,Minister of Foreign Affairs,Q786,Q786,,Q18392021,,,,,
Q113992446,"Minister of Higher Education, Science and Technology of the Dominican Republic",,Q786,,,,,,,
Q113992444,"Minister of Housing, Habitat and Buildings of the Dominican Republic",Q786,Q786,,,,,,,
Q113992406,Minister of Industry and Trade of the Dominican Republic,,Q786,,,,,,,
Q113992408,Minister of Internal Affairs and Police of the Dominican Republic,,Q786,,,,,,,
Q113992470,Minister of Labour of the Dominican Republic,Q786,Q786,,,,,,,
Q113992462,Minister of Public Administration of the Dominican Republic,Q786,Q786,,,,,,,
Q113992409,Minister of Public Health of the Dominican Republic,Q786,Q786,,,,,,,
Q113992468,Minister of Public Works and Communications of the Dominican Republic,Q786,Q786,,,,,,,
Q113992466,Minister of Sport of the Dominican Republic,Q786,Q786,,,,,,,
Q113992410,Minister of Tourism of the Dominican Republic,,Q786,,,,,,,
Q113992471,Minister of Youth of the Dominican Republic,Q786,Q786,,,,,,,
Q113992448,Minister of the Presidency of the Dominican Republic,Q786,Q786,,,,,,,
Q23007339,President of the Chamber of Deputies of the Dominican Republic,Q786,,,Q16466665,1844-11-06,,,,President of the Chamber of Deputies of the Dominican Republic
Q607982,President of the Dominican Republic,Q786,Q786,,Q24057525,1844-11-14,,,,President of the Dominican Republic
Q113992525,President of the Senate of the Dominican Republic,,,,Q18355561,,,,,
Q52229486,Vice President of the Dominican Republic,Q786,Q786,,Q6603526,,,,,Vice president of the Dominican Republic
Q109465827,ambassador of the Dominican Republic to Mexico,,,,,,,,,
Q113992396,ambassador of the Dominican Republic to the United States,,,,,,,,,
Q21295132,member of the Senate of the Dominican Republic,Q786,Q786,,,,,,,
