position,person,personID,start,end
President,Luis Abinader,Q16594097,2020-08-16,
Vice President,Raquel Peña de Antuña,Q87594839,2020-08-16,
Minister of Agriculture,Limber Cruz,Q113992516,2020-08-16,
Minister of Culture,Milagros Germán,Q6016261,2021-09-06,
Minister of Defence,Carlos Luciano Díaz Morfa,Q101068319,2020-08-16,
Minister of Economy,Pavel Isa Contreras,Q113992521,2022-07-07,
Minister of Education,Ángel Enrique Hernández,Q113992523,2022-08-03,
Minister of Energy and Mining,Antonio Almonte,Q113992509,2020-08-16,
Minister of Environment and Natural Resources,Miguel Ceara Hatton,Q113992519,2022-07-07,
Minister of Finance,Jochi Vicente,Q113992515,2020-08-16,
Minister of Foreign Affairs,Roberto Álvarez Gil,Q98222557,2020-08-16,
"Minister of Higher Education, Science and Technology",Franklin García Fermín,Q5491525,2020-08-16,
"Minister of Housing, Habitat and Buildings",Carlos Bonilla Sánchez,Q98492193,2020-08-16,
Minister of Industry and Trade,Victor Bisono,Q5923172,2020-08-16,
Minister of Internal Affairs and Police,Jesús (Chú) Vásquez Martínez,Q113992514,2020-08-16,
Minister of Labour,Luis Miguel de Camps,Q113992517,2020-08-16,
Minister of the Presidency,Joel Adrián Santos Echavarría,Q113579861,2022-08-22,
Administrative Minister of the Presidency,José Ignacio Paliza,Q17518389,2020-08-16,
Minister of Public Administration,Darío Castillo Lugo,Q113992511,2020-08-16,
Minister of Public Health,Daniel Enrique Rivera,Q113992510,2021-03-01,
Minister of Public Works and Communications,Deligne Ascensión Burgos,Q113992512,2020-08-16,
Minister of Sport,Francisco Camacho,Q113992513,2020-08-16,
Minister of Tourism,David Collado,Q33126432,2020-08-16,
Minister for Women,Mayra Jiménez,Q113992518,2020-08-16,
Minister for Youth,Rafael Féliz García,Q113992522,2021-12-15,
Attorney General,Miriam Germán,Q98432253,2020-08-16,
President of the Chamber of Deputies,Alfredo Pacheco,Q5690770,2020,
President of the Senate,Eduardo Estrella,Q5819205,2020-08-16,
