who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
34848302,List of Presidents of the Senate of the Dominican Republic,President of the Dominican Republic Senate,2020-08-16,,Q6104663,Reinaldo Pared Pérez,,,0
34848302,Senate of the Dominican Republic,Member of the Dominican Republic Senate from Santiago Province,2020-08-16,,Julio César Valentín,Julio César Valentín,,,1
34848302,Santiago Province (Dominican Republic),Member of the Dominican Republic Senate from Santiago Province,2020-08-16,,Julio César Valentín,Julio César Valentín,,,2
34848302,,,1994-08-16,1998-08-16,,,Q17591796,José Rafael Abinader,3
34848302,,Secretary of Public Works and Communications,1991,1994,,,,,4
34848302,,Executive Director of the National Institute of Water and Sewage,1990,1991,,,,,5
34848302,,Under Secretary of State for Public Works and Communications,1986,1990,,,,,6
34848302,Mexico,Secretary of Second Class in the Dominican Embassy in Mexico,1972,1975,,,,,7
34848302,,President of Dominicanos por el Cambio party,2010-01-10,2018-02-07,,,,,8
