who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
43571384,,Administrative Minister of the Presidency,2020-08-16,,José Ramón Peralta,José Ramón Peralta,,,0
43571384,,,,,,,,,1
43571384,Modern Revolutionary Party,PRM (Dominican Republic) logo.png President and Chairman of the Modern Revolutionary Party,2018-06-14,,,,,,2
43571384,Senate of the Dominican Republic,Coat of arms of the Dominican Republic.svg Senator for the province of Puerto Plata,2016-08-16,2020-08-16,,Francis Vargas (Dominican Liberation's Party),Ginette Bournigal,Ginette Bournigal (Modern Revolutionary Party),3
43571384,Provinces of the Dominican Republic,Coat of arms of the Dominican Republic.svg Senator for the province of Puerto Plata,2016-08-16,2020-08-16,,Francis Vargas (Dominican Liberation's Party),Ginette Bournigal,Ginette Bournigal (Modern Revolutionary Party),4
43571384,Puerto Plata Province,Coat of arms of the Dominican Republic.svg Senator for the province of Puerto Plata,2016-08-16,2020-08-16,,Francis Vargas (Dominican Liberation's Party),Ginette Bournigal,Ginette Bournigal (Modern Revolutionary Party),5
43571384,Chamber of Deputies of the Dominican Republic,Deputy for Puerto Plata,2010-08-16,2016-08-16,,,,,6
43571384,Puerto Plata Province,Deputy for Puerto Plata,2010-08-16,2016-08-16,,,,,7
