item,itemLabel,startDate,endDate,sourceDate,psid
Q108407634,Eduardo Latorre Rodríguez,1996,2000,,Q108407634-79D42A91-824A-4038-B079-F99081F09F9F
Q16576566,Hugo Tolentino Dipp,2000,2003,2022-09-16,Q16576566-C74F081B-CC87-498F-9554-597C15001558
Q108407635,Frank Guerrero Prats,2003,2004,,Q108407635-755ACB71-4B0C-43F9-A108-A86C721B87AF
Q58295,Carlos Morales Troncoso,2004-08-16,2014-09-15,,Q58295-0F95401B-D705-4FB0-A47C-C7C3481EF59B
Q18117835,Andrés Navarro,2014,2016,2022-09-16,Q18117835-26D6A8A2-5C18-4A10-B66B-7851CED2E4FE
Q9032878,Miguel Vargas,2016-08-16,2020-08-16,,Q9032878-bda05207-4d5e-001d-d0c0-23e01687a2d9
Q98222557,Roberto Álvarez Gil,2020-08-16,,,Q98222557-2569b495-4f0b-34e4-d7a0-c39ed2750ee1
