pageid,title,wikidata,label
16024844,Franklin García Fermín,Q5491525,Franklin García Fermín
22747893,Víctor Bisonó,Q5923172,Victor Bisono
34848302,Eduardo Estrella,Q5819205,Eduardo Estrella
41753563,Milagros Germán,Q6016261,Milagros Germán
43558615,Luis Abinader,Q16594097,Luis Abinader
43571384,José Ignacio Paliza,Q17518389,José Ignacio Paliza
55988518,David Collado,Q33126432,David Collado
65348128,Raquel Peña de Antuña,Q87594839,Raquel Peña de Antuña
69458997,Carlos Bonilla Sánchez,Q98492193,Carlos Bonilla Sánchez
70918069,Alfredo Pacheco (politician),Q5690770,Alfredo Pacheco
72243873,Roberto Álvarez Gil,Q98222557,Roberto Álvarez Gil
