@@,item,itemlabel,startdate,enddate
+++,Q28057750,Rafaela Alburquerque de González,1999,2003
+++,,Alfredo Pacheco Osoria,2003,2006
+++,,Julio César Valentín Jiminián,2006,2010
+++,,Abel Martínez Durán,2010,2016
+++,Q20983426,Lucía 'Yomaira' Medina Sánchez,2016,2017
+++,,Rubén Darío Maldonado Díaz,2017,2018
+++,,Radhamés Camacho,2018,2020
+++,Q5690770,Alfredo Pacheco,2020,
