positionlabel,position
Ministra de la Mujer,Q113992461
Ministro de Administración Pública,Q113992462
Ministro de Agricultura,Q113992464
Ministro de Defensa,Q113992465
"Ministro de Deportes, Educación Física y Recreación",Q113992466
"Ministro de Economía, Planificación y Desarrollo",Q113992401
Ministro de Educación,Q113992402
Ministro de Energía y Minas,Q113992403
Ministro de Hacienda,Q113992405
"Ministro de Industria, Comercio y MiPymes",Q113992406
Ministro de Interior y Policía,Q113992408
Ministro de Medio Ambiente y Recursos Naturales,Q113992404
Ministro de Obras Públicas y Comunicaciones,Q113992468
Ministro de Salud Pública y Asistencia Social,Q113992409
Ministro de Trabajo,Q113992470
Ministro de la Juventud,Q113992471
Ministro de la Presidencia,Q113992448
Procuradora General de la República,Q113992411
