item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended,holders
Q113992686,Administrative Minister of the Presidency of the Dominican Republic,,,Q786,Q786,,,1
Q113992411,Attorney General of the Dominican Republic,Q30909878,Ministry of Justice of the Dominican Republic,,Q786,,,1
Q113992461,Minister for Women of the Dominican Republic,,,Q786,Q786,,,1
Q113992464,Minister of Agriculture of the Dominican Republic,,,Q786,Q786,,,1
Q113992451,Minister of Culture of the Dominican Republic,,,Q786,Q786,,,1
Q113992465,Minister of Defence of the Dominican Republic,,,Q786,Q786,,,1
Q113992401,Minister of Economy of the Dominican Republic,Q6866816,Ministry of Economy of the Dominican Republic,,Q786,,,1
Q113992402,Minister of Education of the Dominican Republic,Q6017274,Ministry of Education of the Dominican Republic,,Q786,,,1
Q113992403,Minister of Energy and Mining Of the Dominican Republic,Q18416631,Ministry of Energy and Mining Of the Dominican Republic,,Q786,,,1
Q113992404,Minister of Environment and Natural Resources of the Dominican Republic,Q6017397,Ministry of Environment and Natural Resources of the Dominican Republic,,Q786,,,2
Q113992405,Minister of Finance of the Dominican Republic,Q6866929,Ministry of Finance of the Dominican Republic,,Q786,,,1
Q28662562,Minister of Foreign Affairs,Q28344904,Ministry of External Relations  of the Dominican Republic,Q786,Q786,,,27
Q113992446,"Minister of Higher Education, Science and Technology of the Dominican Republic",Q6715438,"Ministry of Higher Education, Science and Technology of the Dominican Republic",,Q786,,,1
Q113992444,"Minister of Housing, Habitat and Buildings of the Dominican Republic",,,Q786,Q786,,,1
Q113992406,Minister of Industry and Trade of the Dominican Republic,Q27009793,Ministry of Industry and Trade of the Dominican Republic,,Q786,,,1
Q113992408,Minister of Internal Affairs and Police of the Dominican Republic,Q30908803,Ministry of Internal Affairs and Police of the Dominican Republic,,Q786,,,1
Q113992470,Minister of Labour of the Dominican Republic,,,Q786,Q786,,,1
Q113992462,Minister of Public Administration of the Dominican Republic,,,Q786,Q786,,,1
Q113992409,Minister of Public Health of the Dominican Republic,Q90746249,Ministry of Public Health of the Dominican Republic,Q786,Q786,,,1
Q113992468,Minister of Public Works and Communications of the Dominican Republic,,,Q786,Q786,,,1
Q113992466,Minister of Sport of the Dominican Republic,,,Q786,Q786,,,1
Q113992410,Minister of Tourism of the Dominican Republic,Q30917252,Ministry of Tourism of the Dominican Republic,,Q786,,,1
Q113992471,Minister of Youth of the Dominican Republic,,,Q786,Q786,,,1
Q113992448,Minister of the Presidency of the Dominican Republic,,,Q786,Q786,,,3
Q607982,President of the Dominican Republic,,,Q786,Q786,1844,,68
Q52229486,Vice President of the Dominican Republic,,,Q786,Q786,,,13
