item,itemLabel,startDate,endDate,sourceDate,psid
Q9010575,Jaime David Fernández Mirabal,1996-08-16,2000-08-16,2022-09-16,Q9010575-EF18DE8C-4C0E-41BA-8764-94F7629C856B
Q6016272,Milagros Ortiz Bosch,2000-08-16,2004-08-16,2022-09-16,Q6016272-44BBB73C-8B68-4A11-B0D7-D97DA433B3B8
Q3084751,Rafael Alburquerque,2004-08-16,2012-08-16,2022-09-16,Q3084751-7E317BEA-7C29-49C7-9E73-DD741141ACFB
Q3845570,Margarita Cedeño de Fernández,2012-08-16,2020-08-16,2022-09-16,Q3845570-4E9DF65F-D64B-47CE-BB2F-402944E319A5
Q87594839,Raquel Peña de Antuña,2020-08-16,,2022-09-16,Q87594839-FADD93EC-6694-4219-8371-80297068665D
